type,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,sulfur_dioxide_ratio
0,6.3,0.3,0.34,1.6,0.049,132.0,0.9940000000000001,3.3,0.49,9.5,1,0.10606060606060606
0,8.1,0.28,0.4,6.9,0.05,97.0,0.9951,3.26,0.44,10.1,1,0.30927835051546393
0,7.2,0.23,0.32,8.5,0.057999999999999996,186.0,0.9956,3.19,0.4,9.9,1,0.25268817204301075
0,6.2,0.32,0.16,7.0,0.045,136.0,0.9949,3.18,0.47,9.6,1,0.22058823529411764
0,8.1,0.22,0.43,1.5,0.044000000000000004,129.0,0.9938,3.22,0.45,11.0,1,0.21705426356589147
0,8.1,0.27,0.41,1.45,0.033,63.0,0.9908,2.99,0.56,12.0,0,0.1746031746031746
0,8.6,0.23,0.4,4.2,0.035,109.0,0.9947,3.14,0.53,9.7,0,0.1559633027522936
0,7.9,0.18,0.37,1.2,0.04,75.0,0.992,3.18,0.63,10.8,0,0.21333333333333335
0,6.6,0.16,0.4,1.5,0.044000000000000004,143.0,0.9912,3.54,0.52,12.4,1,0.3356643356643357
0,6.6,0.17,0.38,1.5,0.032,112.0,0.9914,3.25,0.55,11.4,1,0.25
0,6.3,0.48,0.04,1.1,0.046,99.0,0.9928,3.24,0.36,9.6,1,0.30303030303030304
0,7.0,0.66,0.48,1.2,0.028999999999999998,75.0,0.9892,3.33,0.39,12.8,1,0.38666666666666666
0,7.4,0.34,0.42,1.1,0.033,171.0,0.9917,3.12,0.53,11.3,1,0.09941520467836257
0,6.5,0.31,0.14,7.5,0.044000000000000004,133.0,0.9955,3.22,0.5,9.5,0,0.2556390977443609
0,6.2,0.66,0.48,1.2,0.028999999999999998,75.0,0.9892,3.33,0.39,12.8,1,0.38666666666666666
0,6.4,0.31,0.38,2.9,0.038,102.0,0.9912,3.17,0.35,11.0,1,0.18627450980392157
0,6.8,0.26,0.42,1.7,0.049,122.0,0.993,3.47,0.48,10.5,1,0.3360655737704918
0,7.6,0.67,0.14,1.5,0.07400000000000001,168.0,0.9937,3.05,0.51,9.3,0,0.1488095238095238
0,6.6,0.27,0.41,1.3,0.052000000000000005,142.0,0.9951,3.42,0.47,10.0,1,0.11267605633802817
0,7.0,0.25,0.32,9.0,0.046,245.0,0.9955,3.25,0.5,10.4,1,0.22857142857142856
0,6.9,0.24,0.35,1.0,0.052000000000000005,146.0,0.993,3.45,0.44,10.0,1,0.23972602739726026
0,7.0,0.28,0.39,8.7,0.051,141.0,0.9961,3.38,0.53,10.5,1,0.22695035460992907
0,7.4,0.27,0.48,1.1,0.047,132.0,0.9914,3.19,0.49,11.6,1,0.12878787878787878
0,7.2,0.32,0.36,2.0,0.033,114.0,0.9906,3.1,0.71,12.3,1,0.32456140350877194
0,8.5,0.24,0.39,10.4,0.044000000000000004,142.0,0.9974,3.2,0.53,10.0,1,0.14084507042253522
0,8.3,0.14,0.34,1.1,0.042,47.0,0.9934,3.47,0.4,10.2,1,0.14893617021276595
0,7.4,0.25,0.36,2.05,0.05,100.0,0.992,3.19,0.44,10.8,1,0.31
0,6.2,0.12,0.34,3.0,0.045,117.0,0.9939,3.42,0.51,9.0,1,0.36752136752136755
0,5.8,0.27,0.2,14.95,0.044000000000000004,179.0,0.9962,3.37,0.37,10.2,0,0.12290502793296089
0,7.3,0.28,0.43,1.7,0.08,123.0,0.9905,3.19,0.42,12.8,0,0.17073170731707318
0,6.5,0.39,0.23,5.4,0.051,149.0,0.9934,3.24,0.35,10.0,0,0.16778523489932887
0,7.0,0.33,0.32,1.2,0.053,138.0,0.9906,3.13,0.28,11.2,1,0.2753623188405797
0,7.0,0.31,0.26,7.4,0.069,160.0,0.9954,3.13,0.46,9.8,1,0.175
0,6.6,0.24,0.27,1.4,0.057,152.0,0.9934,3.22,0.56,9.5,1,0.21710526315789475
0,6.7,0.23,0.26,1.4,0.06,154.0,0.9934,3.24,0.56,9.5,1,0.21428571428571427
0,7.4,0.18,0.31,1.4,0.057999999999999996,167.0,0.9931,3.16,0.53,10.0,1,0.2275449101796407
0,6.2,0.45,0.26,4.4,0.063,206.0,0.9940000000000001,3.27,0.52,9.8,0,0.3058252427184466
0,6.2,0.46,0.25,4.4,0.066,207.0,0.9939,3.25,0.52,9.8,0,0.2995169082125604
0,6.9,0.19,0.35,5.0,0.067,150.0,0.995,3.36,0.48,9.8,0,0.21333333333333335
0,7.2,0.19,0.31,1.6,0.062,173.0,0.9917,3.35,0.44,11.7,1,0.1791907514450867
